stable_id	sample_id	callset_id	read_1_fullpath	read_2_fullpath	num_files_in_group	num_unique_sample_ids	all_sample_ids	all_callset_ids	size_mismatch_flag	read_1_dir	read_2_dir	read_1_size	read_2_size	query_include	note	origin	taxon	site	UIN (if applicable)	latitude	longitude	admin1_name	collection_year_recorded	collection_year_inferred	admin1_iso	country	country_iso	collection_method	notes	feeding_preference	exo_endo	biting_time	population
far_QLD_MK_12	['far_QLD_MK_12']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_12_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_12_2.fq.gz	1	1	far_QLD_MK_12		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1768197387	1772089392	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2021	2021	AU-QLD	Australia	AU		2021 field trip?				QLD
far_QLD_MK_13	['far_QLD_MK_13']	['far_QLD_MK_13']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_MK_13_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_MK_13_2.fq.gz	1	1	far_QLD_MK_13	far_QLD_MK_13	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1467054959	1463037166	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2021	2021	AU-QLD	Australia	AU		2021 field trip?				QLD
far_QLD_MK_14	['far_QLD_MK_14']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_14_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_14_2.fq.gz	1	1	far_QLD_MK_14		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1968386167	1973549777	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2021	2021	AU-QLD	Australia	AU		2021 field trip?				QLD
far_QLD_MK_18	['far_QLD_MK_18']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_18_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_18_2.fq.gz	1	1	far_QLD_MK_18		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1956027787	1953912400	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2021	2021	AU-QLD	Australia	AU		2021 field trip?				QLD
far_QLD_MK_24	['far_QLD_MK_24']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_24_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_24_2.fq.gz	1	1	far_QLD_MK_24		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1671577135	1680719239	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2021	2021	AU-QLD	Australia	AU		2021 field trip?				QLD
far_QLD_MK_9	['far_QLD_MK_9']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_9_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_MK_9_2.fq.gz	1	1	far_QLD_MK_9		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1702524652	1713225583	1			farauti_ss	Mackay		-21.104	149.119	Queensland	2021	2021	AU-QLD	Australia	AU		2021 field trip?				QLD
f1-Mac-18-10	['f1-Mac-18-10']	[None]	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-10_1.fastq.gz	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-10_2.fastq.gz	1	1	f1-Mac-18-10		FALSE	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	1943647586	2115623854	1			unk	Mackay		-21.104	149.119	Queensland	2023	2023	AU-QLD	Australia	AU						
f1-Mac-18-27	['f1-Mac-18-27']	[None]	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-27_1.fastq.gz	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/f1-Mac-18-27_2.fastq.gz	1	1	f1-Mac-18-27		FALSE	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	2036821478	2202633919	1			unk	Mackay		-21.104	149.119	Queensland	2023	2023	AU-QLD	Australia	AU						
far_QLD_CB_10	['far_QLD_CB_10']	['far_QLD_CB_10']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_10_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_10_2.fq.gz	1	1	far_QLD_CB_10	far_QLD_CB_10	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1542004850	1552191563	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2015-2017	2017	AU-QLD	Australia	AU		assuming all CBTA samples collected in a oner by Weng?				QLD
far_QLD_CB_11	['far_QLD_CB_11']	['far_QLD_CB_11']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_11_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_11_2.fq.gz	1	1	far_QLD_CB_11	far_QLD_CB_11	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1616938007	1623511352	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2015-2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_15	['far_QLD_CB_15']	['far_QLD_CB_15']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_15_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_15_2.fq.gz	1	1	far_QLD_CB_15	far_QLD_CB_15	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1495067609	1508853575	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2015-2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_16	['far_QLD_CB_16']	['far_QLD_CB_16']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_16_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_16_2.fq.gz	1	1	far_QLD_CB_16	far_QLD_CB_16	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1819126790	1814536141	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2015-2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_17	['far_QLD_CB_17']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_CB_17_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_CB_17_2.fq.gz	1	1	far_QLD_CB_17		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1619681818	1656746688	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_21	['far_QLD_CB_21']	['far_QLD_CB_21']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_21_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_21_2.fq.gz	1	1	far_QLD_CB_21	far_QLD_CB_21	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1756741113	1768740005	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2015-2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_23	['far_QLD_CB_23']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_CB_23_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_CB_23_2.fq.gz	1	1	far_QLD_CB_23		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1595231805	1621054669	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_7	['far_QLD_CB_7']	['far_QLD_CB_7']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_7_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_7_2.fq.gz	1	1	far_QLD_CB_7	far_QLD_CB_7	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1692808199	1699042717	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2015-2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_8	['far_QLD_CB_8']	['far_QLD_CB_8']	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_8_1.fq.gz	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata/far_QLD_CB_8_2.fq.gz	1	1	far_QLD_CB_8	far_QLD_CB_8	FALSE	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	1620877303	1637576047	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2015-2017	2017	AU-QLD	Australia	AU						QLD
far_QLD_CB_9	['far_QLD_CB_9']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_CB_9_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/far_QLD_CB_9_2.fq.gz	1	1	far_QLD_CB_9		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1694843026	1726435190	1			farauti_ss	CBTA		-17.688	146.113	Queensland	2017	2017	AU-QLD	Australia	AU						QLD
hin_QLD_WCditch_1	['hin_QLD_WCditch_1']	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/hin_QLD_WCditch_1_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/hin_QLD_WCditch_1_2.fq.gz	1	1	hin_QLD_WCditch_1		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	1609759542	1609380405	1			hinesorum	WoopenCreek		-17.48	145.868	Queensland		2000	AU-QLD	Australia	AU	Larval					QLD
hin_QLD_WCditch_3	"['hin_QLD_WCditch_3', 'hin_QLD_Wcditch_3']"	[None]	/QRISdata/Q6151/1_RawData/hin_QLD_Wcditch_3_1.fq.gz	/QRISdata/Q6151/1_RawData/hin_QLD_Wcditch_3_2.fq.gz	2	2	"hin_QLD_WCditch_3, hin_QLD_Wcditch_3"		TRUE	/QRISdata/Q6151/1_RawData	/QRISdata/Q6151/1_RawData	2084154012	2072325585	1			hinesorum	WoopenCreek		-17.48	145.868	Queensland		2000	AU-QLD	Australia	AU	Larval					QLD
hin_QLD_WCditch_3	"['hin_QLD_WCditch_3', 'hin_QLD_Wcditch_3']"	[None]	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/hin_QLD_WCditch_3_1.fq.gz	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete/hin_QLD_WCditch_3_2.fq.gz	2	2	"hin_QLD_WCditch_3, hin_QLD_Wcditch_3"		TRUE	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	/QRISdata/Q6151/2_fastqc/2_top_up_feb24/Complete	2084154012	2072325585	1			hinesorum	WoopenCreek		-17.48	145.868	Queensland		2000	AU-QLD	Australia	AU	Larval					QLD
WoopCk_1_1	['WoopCk_1_1']	[None]	/QRISdata/Q6151/1_RawData/2023/X201SC23115081-Z01-F002_4/01.RawData/proceed/WoopCk_1_1/WoopCk_1_1_FKDN230534291-1A_22GJHKLT3_L3_1.fq.gz	/QRISdata/Q6151/1_RawData/2023/X201SC23115081-Z01-F002_4/01.RawData/proceed/WoopCk_1_1/WoopCk_1_1_FKDN230534291-1A_22CNGKLT3_L5_2.fq.gz	1	1	WoopCk_1_1		FALSE	/QRISdata/Q6151/1_RawData/2023/X201SC23115081-Z01-F002_4/01.RawData/proceed/WoopCk_1_1	/QRISdata/Q6151/1_RawData/2023/X201SC23115081-Z01-F002_4/01.RawData/proceed/WoopCk_1_1	569612792	865077060	1			hinesorum	WoopenCreek		-17.48	145.868	Queensland		2000	AU-QLD	Australia	AU	Larval					
hin_QLD_F2_QLD20	"['F2_QLD20', 'hin_QLD_F2_QLD20']"	['hin_QLD_F2_QLD20']	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq/F2_QLD20_1.fastq.gz	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq/F2_QLD20_2.fastq.gz	2	2	"F2_QLD20, hin_QLD_F2_QLD20"	hin_QLD_F2_QLD20	FALSE	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq	4158403244	4537818553	1			hinesorum	AU-QLD0		-17.47	145.877	Queensland	2000	2000	AU-QLD	Australia	AU		Don't know - near to Woopen Creek				
far_QLD_CNS-122	['CNS-122-far']	['far_QLD_CNS-122']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-122-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-122-far_2.fastq.gz	1	1	CNS-122-far	far_QLD_CNS-122	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1851725641	1970050096	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-125	['CNS-125-far']	['far_QLD_CNS-125']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-125-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-125-far_2.fastq.gz	1	1	CNS-125-far	far_QLD_CNS-125	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1924048165	2020163750	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-131	['CNS-131-far']	['far_QLD_CNS-131']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-131-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-131-far_2.fastq.gz	1	1	CNS-131-far	far_QLD_CNS-131	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1852820203	1948955428	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-139	['CNS-139-far']	['far_QLD_CNS-139']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-139-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-139-far_2.fastq.gz	1	1	CNS-139-far	far_QLD_CNS-139	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1712987342	1822225408	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-148	['CNS-148-far']	['far_QLD_CNS-148']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-148-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-148-far_2.fastq.gz	1	1	CNS-148-far	far_QLD_CNS-148	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1687217328	1829222400	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-156	['CNS-156-far']	['far_QLD_CNS-156']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-156-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-156-far_2.fastq.gz	1	1	CNS-156-far	far_QLD_CNS-156	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	2191177968	2306578674	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-165	['CNS-165-far']	['far_QLD_CNS-165']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-165-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-165-far_2.fastq.gz	1	1	CNS-165-far	far_QLD_CNS-165	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1917988951	2019075890	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-67	['CNS-67-far']	['far_QLD_CNS-67']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-67-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-67-far_2.fastq.gz	1	1	CNS-67-far	far_QLD_CNS-67	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1730257671	1831769041	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-69	['CNS-69-far']	['far_QLD_CNS-69']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-69-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-69-far_2.fastq.gz	1	1	CNS-69-far	far_QLD_CNS-69	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	2141469991	2258938503	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_CNS-70	['CNS-70-far']	['far_QLD_CNS-70']	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-70-far_1.fastq.gz	/QRISdata/Q3833/Raw_data/RAW/new_farauti/CNS-70-far_2.fastq.gz	1	1	CNS-70-far	far_QLD_CNS-70	FALSE	/QRISdata/Q3833/Raw_data/RAW/new_farauti	/QRISdata/Q3833/Raw_data/RAW/new_farauti	1782132653	1903009083	1			farauti_ss	Cairns		-16.84	145.73	Queensland	2021	2021	AU-QLD	Australia	AU						QLD
far_QLD_Yaps_5	"['Yaps_5', 'far_QLD_Yaps_5']"	['far_QLD_Yaps_5']	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq/Yaps_5_1.fastq.gz	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq/Yaps_5_2.fastq.gz	2	2	"Yaps_5, far_QLD_Yaps_5"	far_QLD_Yaps_5	FALSE	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq	/QRISdata/Q3833/Raw_data/Phd/2015_HiSeq	4287539731	4723904977	1			farauti_ss	Cairns0		-16.823	145.706	Queensland	2015	2015	AU-QLD	Australia	AU						QLD
hin_QLD_MM10	"['MM10', 'MM10']"	['hin_QLD_MM10']	/QRISdata/Q3833/Raw_data/RAW/MM10_1.fq.gz	/QRISdata/Q3833/Raw_data/RAW/MM10_2.fq.gz	2	1	MM10	hin_QLD_MM10	FALSE	/QRISdata/Q3833/Raw_data/RAW	/QRISdata/Q3833/Raw_data/RAW	1175731642	1266772059	1			hinesorum	MountMolloy0		-16.674	145.329	Queensland	2000	2000	AU-QLD	Australia	AU						
hin_QLD_MM11	"['MM11', 'MM11']"	['hin_QLD_MM11']	/QRISdata/Q3833/Raw_data/RAW/MM11_1.fq.gz	/QRISdata/Q3833/Raw_data/RAW/MM11_2.fq.gz	2	1	MM11	hin_QLD_MM11	FALSE	/QRISdata/Q3833/Raw_data/RAW	/QRISdata/Q3833/Raw_data/RAW	2434713709	2600624733	1			hinesorum	MountMolloy0		-16.674	145.329	Queensland	2000	2000	AU-QLD	Australia	AU						
hin_QLD_MM7	"['MM7', 'MM7']"	['hin_QLD_MM7']	/QRISdata/Q3833/Raw_data/RAW/MM7_1.fq.gz	/QRISdata/Q3833/Raw_data/RAW/MM7_2.fq.gz	2	1	MM7	hin_QLD_MM7	FALSE	/QRISdata/Q3833/Raw_data/RAW	/QRISdata/Q3833/Raw_data/RAW	1743387948	1884785911	1			hinesorum	MountMolloy0		-16.674	145.329	Queensland	2000	2000	AU-QLD	Australia	AU						
